strategy,days,total_return,annual_return,volatility,sharpe_ratio,max_drawdown
long_atm_strangle,79,-1.0,-1.0,1.7862571580052393,-1.7717328149996656,-1.0
long_call_butterfly,40,0.09105691056909171,0.7315643972064014,2.8696086613045613,1.2512116558937894,-0.4634146341463504
calendar_spread,78,-1.0,-1.0,1.8762705128092083,-1.352407558638796,-1.0
