trade_date,portfolio_return,equity
20260102,0.0,1.0
20260105,0.0,1.0
20260106,0.0,1.0
20260107,0.0,1.0
20260108,0.0,1.0
20260109,0.0,1.0
20260112,0.0,1.0
20260113,0.0,1.0
20260114,0.0,1.0
20260115,0.0,1.0
20260116,0.0,1.0
20260119,0.0,1.0
20260120,-0.021854102108175018,0.9781458978918249
20260121,0.0027801209983631336,0.9808652618420167
20260122,-0.004735499104804287,0.9762203752726302
20260123,0.024288812132192746,0.9999316085672457
20260126,0.003690744797676112,1.0036221009495971
20260127,0.0,1.0036221009495971
20260128,0.0,1.0036221009495971
20260129,0.0,1.0036221009495971
20260130,0.0,1.0036221009495971
20260202,0.0,1.0036221009495971
20260203,0.0,1.0036221009495971
20260204,0.0,1.0036221009495971
20260205,0.0,1.0036221009495971
20260206,0.0,1.0036221009495971
20260209,0.0,1.0036221009495971
20260210,-0.0019585062594901555,1.0016565007827247
20260211,-0.025172772209791108,0.9764420298560648
20260212,-0.09093789323198445,0.8876464487977918
20260213,1.3581328688642824,2.0931882668407287
20260216,0.0,2.0931882668407287
20260217,0.0,2.0931882668407287
20260218,0.0,2.0931882668407287
20260219,0.0,2.0931882668407287
20260220,0.0,2.0931882668407287
20260223,0.07519158331959332,2.2505784068104786
20260224,-0.00038021675142934264,2.249722699199804
20260225,0.00016878423872027855,2.2501024169329202
20260226,-0.19836902002813694,1.8037518055229944
20260227,-0.010271445311997925,1.7852246674961474
20260302,-0.010924221537547818,1.7657224777341243
20260303,0.03628057902863962,1.8297839116302024
20260304,0.0002661424503599833,1.8302708948040731
20260305,-0.00042357063379026274,1.829495645801153
20260306,0.0,1.829495645801153
20260309,0.0005174226758060643,1.830442268333579
20260310,0.0006199163246907362,1.831576989377123
20260311,0.0,1.831576989377123
20260312,0.0,1.831576989377123
20260313,0.0,1.831576989377123
20260316,-0.0004891662902150586,1.8306810436559862
20260317,-0.00022401894628545636,1.8302709364176015
20260318,-0.000489977468698011,1.8293741448971441
20260319,0.00010675285835451045,1.8295694358161116
20260320,-0.0012864439503082047,1.8272157972837373
20260323,-0.00022197897115065602,1.8268101938009862
20260324,-0.05528627513222881,1.7258126628121446
20260325,0.11851610326655315,1.9303492545767138
20260326,-0.18723896984865773,1.5689126487016456
20260327,0.08894833826304549,1.70846482168353
20260330,2.137721440809558,5.360686701865291
20260331,-0.574489297465002,2.281029564580721
20260401,0.13578837940081995,2.590766872520495
20260402,-0.01914964324884299,2.541154611170807
20260403,-0.07861432491625395,2.3413834569057883
20260406,-0.2635892070721918,1.7242200480480443
20260407,0.0,1.7242200480480443
20260408,0.0,1.7242200480480443
20260409,0.0,1.7242200480480443
20260410,0.0,1.7242200480480443
20260413,0.0,1.7242200480480443
20260414,0.0,1.7242200480480443
20260415,0.0,1.7242200480480443
20260416,0.0,1.7242200480480443
20260417,0.0,1.7242200480480443
20260420,0.0,1.7242200480480443
20260421,0.0,1.7242200480480443
20260422,0.0,1.7242200480480443
20260423,0.0,1.7242200480480443
20260424,0.0,1.7242200480480443
20260427,0.0,1.7242200480480443
20260428,-0.011934906681480777,1.7036416426762526
20260429,-0.011431281432942537,1.6841668355979398
20260430,0.11527985455165704,1.878317343446395
20260501,0.0,1.878317343446395
20260504,0.0,1.878317343446395
20260505,0.0,1.878317343446395
20260506,-0.07495667184430345,1.7375249267142197
20260507,0.0023631236361143144,1.7416309129368759
20260508,0.0,1.7416309129368759
20260511,0.0,1.7416309129368759
20260512,0.6449948021539139,2.8649737990517368
20260513,0.3983125795757417,4.006128903368946
20260514,0.23541572298293847,4.949234635518393
20260515,0.006172199063675048,4.979782296901647
20260518,0.0,4.979782296901647
20260519,0.0,4.979782296901647
20260520,0.0,4.979782296901647
20260521,0.0,4.979782296901647
20260522,0.0,4.979782296901647
20260525,0.0,4.979782296901647
20260526,0.0,4.979782296901647
20260527,0.16401727515706316,5.796552620114837
20260528,0.0008403555458702789,5.8014237852560795
20260529,0.0018515373301753952,5.812165337962648
20260601,-0.0013827040498976002,5.804128833411173
20260602,0.003591394221347152,5.824973748163441
20260603,-0.000301587069847495,5.823217011398794
20260604,0.0,5.823217011398794
20260605,0.0,5.823217011398794
20260608,-0.0012727530548268266,5.815805494158616
20260609,0.00025978479283895485,5.817316351984108
20260610,-0.0012746864640476206,5.80990109757315
