,portfolio_return,equity
0,0.0,1.0
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,-0.030860608291676424,0.9691393917083235
13,0.003925863652932008,0.9729441008208559
14,-0.00668709161399417,0.9664379344833717
15,0.03429871030031135,0.9995855092214482
16,0.0052117734666856305,1.004795122456092
17,0.0,1.004795122456092
18,0.0,1.004795122456092
19,0.0,1.004795122456092
20,0.0,1.004795122456092
21,0.0,1.004795122456092
22,0.0,1.004795122456092
23,0.0,1.004795122456092
24,0.0,1.004795122456092
25,0.0,1.004795122456092
26,0.0,1.004795122456092
27,-0.002765645287632882,1.002016215560635
28,-0.035546967747138156,0.9663975774639916
29,-0.12841519125385473,0.8422974477266912
30,1.9178461904592703,2.4576943990828926
31,0.0,2.4576943990828926
32,0.0,2.4576943990828926
33,0.0,2.4576943990828926
34,0.0,2.4576943990828926
35,0.0,2.4576943990828926
36,0.10617951669535308,2.718651202562391
37,-0.004565510043795124,2.7062391731915163
38,0.002026702227650133,2.7117239141523775
39,-0.280120802675396,1.9521136346859467
40,-0.014504510356633204,1.9237991822543195
41,-0.015426308529767877,1.8941220625195492
42,0.05123252067076372,1.9911627102405316
43,0.003195745652002268,1.9975259598142117
44,-0.0050860883313434985,1.9873663663384449
45,0.0,1.9873663663384449
46,0.0062130308946131,1.9997139349714206
47,0.007443738856976875,2.0145992832920054
48,0.0,2.0145992832920054
49,0.0,2.0145992832920054
50,0.0,2.0145992832920054
51,-0.0058737380787860245,2.002766054768238
52,-0.0026899413174769488,1.997378731608277
53,-0.005883478426883018,1.9856271969305448
54,0.0012818510630821795,1.988172475263815
55,-0.015447169946700891,1.957460837155062
56,-0.002665446008072481,1.9522433309807088
57,-0.052883585765419454,1.8490017033518225
58,0.10468089247585421,2.0425568518480657
59,-0.16080327395899036,1.7141070228235282
60,0.05594087951475023,1.8099956772626864
61,1.747426560398891,4.972830197918683
62,-0.4751995116046856,2.609743716574693
63,0.1123198845611086,2.902869829554441
64,-0.01583998372016412,2.856888418712543
65,-0.06502730158800177,2.671112673905653
66,-0.21803271708922062,2.08872271996255
67,0.0,2.08872271996255
68,0.0,2.08872271996255
69,0.0,2.08872271996255
70,0.0,2.08872271996255
71,0.0,2.08872271996255
72,0.0,2.08872271996255
73,0.0,2.08872271996255
74,0.0,2.08872271996255
75,0.0,2.08872271996255
76,0.0,2.08872271996255
77,0.0,2.08872271996255
78,0.0,2.08872271996255
79,0.0,2.08872271996255
80,0.0,2.08872271996255
81,0.0,2.08872271996255
82,-0.016853516940287024,2.053520396218099
83,-0.016142337801285798,2.0203717763005162
84,0.16278895456928047,2.3492659856057574
85,0.0,2.3492659856057574
86,0.0,2.3492659856057574
87,0.0,2.3492659856057574
88,-0.10584779357141708,2.1006013645170074
89,0.00333701345943862,2.1076110995433157
90,0.0,2.1076110995433157
91,0.0,2.1076110995433157
92,0.5335194516652817,3.232062617695327
93,0.3294716613792545,4.296935658029189
94,0.1947284955162658,5.133671474047408
95,0.005105449298233378,5.159881173471945
96,0.0,5.159881173471945
97,0.0,5.159881173471945
98,0.0,5.159881173471945
99,0.0,5.159881173471945
100,0.0,5.159881173471945
101,0.0,5.159881173471945
102,0.0,5.159881173471945
103,1.9694621930002927,15.322072064998924
104,0.010090696084816438,15.476682437596484
105,0.022232614017134576,15.820769544497331
106,-0.016603027624827873,15.558096870704006
107,0.04312420830262981,16.229027480948737
108,-0.0036213522715433416,16.170256455415664
109,0.0,16.170256455415664
110,0.0,16.170256455415664
111,-0.015282774452305118,15.923130073171617
112,0.0031194051195082423,15.972800766640464
113,-0.015305990155408988,15.728321235351956
