,return,equity
0,0.0,1.0
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,-0.0008016695824764429,0.9991983304175236
13,0.00010198261310209836,0.9993002312742668
14,-0.00017371135045378638,0.9991266414815835
15,0.0008909815550637484,1.0000168448903164
16,0.000135386840710025,1.000152234011603
17,0.0,1.000152234011603
18,0.0,1.000152234011603
19,0.0,1.000152234011603
20,0.0,1.000152234011603
21,0.0,1.000152234011603
22,0.0,1.000152234011603
23,0.0,1.000152234011603
24,0.0,1.000152234011603
25,0.0,1.000152234011603
26,0.0,1.000152234011603
27,-7.184348675371344e-05,1.000080379587827
28,-0.0009234076827914594,0.9991568976819066
29,-0.003335856240522535,0.9958238539095132
30,0.049820111782248995,1.0454359096267152
31,0.0,1.0454359096267152
32,0.0,1.0454359096267152
33,0.0,1.0454359096267152
34,0.0,1.0454359096267152
35,0.0,1.0454359096267152
36,0.0027582375568297726,1.0483194702159062
37,-1.3947413756014722e-05,1.0483048488705067
38,6.1914778980040785e-06,1.0483113394268087
39,-0.007276730413130553,1.040683060420772
40,-0.0003767853391523583,1.0402909463009014
41,-0.00040073099665852396,1.0398740694731754
42,0.0013308731009824101,1.0412580099006463
43,9.762849372774448e-06,1.0412681755457551
44,-1.5537755404414477e-05,1.0412519965755331
45,0.0,1.0412519965755331
46,1.8980510772031466e-05,1.0412717600702706
47,2.2740264446703185e-05,1.0412954388654554
48,0.0,1.0412954388654554
49,0.0,1.0412954388654554
50,0.0,1.0412954388654554
51,-1.7943987526788578e-05,1.0412767538730887
52,-8.217641440793631e-06,1.0412681970340847
53,-1.797374382208378e-05,1.0412494815462612
54,3.915993389324099e-06,1.0412535590723475
55,-4.7190361764491905e-05,1.0412044219402063
56,-8.142809447857807e-06,1.0411959436110023
57,-0.002028055185362762,1.0390843407785832
58,0.004347502109770584,1.0436017621423477
59,-0.0068684490462659195,1.0364338366144796
60,0.0032628738002754656,1.0398155894256882
61,0.07841760079741153,1.121355433220197
62,-0.021073874046908286,1.0977241300586982
63,0.004981097501996551,1.103192000980815
64,-0.0007024624682306279,1.1024170500048738
65,-0.002883793290629207,1.0992379071125946
66,-0.009669189268581978,1.088609167737523
67,0.0,1.088609167737523
68,0.0,1.088609167737523
69,0.0,1.088609167737523
70,0.0,1.088609167737523
71,0.0,1.088609167737523
72,0.0,1.088609167737523
73,0.0,1.088609167737523
74,0.0,1.088609167737523
75,0.0,1.088609167737523
76,0.0,1.088609167737523
77,0.0,1.088609167737523
78,0.0,1.088609167737523
79,0.0,1.088609167737523
80,0.0,1.088609167737523
81,0.0,1.088609167737523
82,-0.000437805754218515,1.0881325683797924
83,-0.0004193313716645314,1.087676280257341
84,0.00422878745641998,1.0922758320679387
85,0.0,1.0922758320679387
86,0.0,1.0922758320679387
87,0.0,1.0922758320679387
88,-0.002749620346963067,1.0892724882155886
89,8.668598368062518e-05,1.0893669128727257
90,0.0,1.0893669128727257
91,0.0,1.0893669128727257
92,0.023660213134484322,1.1151415662129496
93,0.014611219339189999,1.131435144231135
94,0.008635707082265584,1.141205886719296
95,0.0002264135228180769,1.1414642711643688
96,0.0,1.1414642711643688
97,0.0,1.1414642711643688
98,0.0,1.1414642711643688
99,0.0,1.1414642711643688
100,0.0,1.1414642711643688
101,0.0,1.1414642711643688
102,0.0,1.1414642711643688
103,0.006016612343222317,1.1483320191876036
104,3.082659155955814e-05,1.1483674183497339
105,6.791956727730366e-05,1.1484454149678636
106,-5.072145141827845e-05,1.1483871641495418
107,0.0001317423837266087,1.148538455411988
108,-1.1063057139945111e-05,1.1485257490654284
109,0.0,1.1485257490654284
110,0.0,1.1485257490654284
111,-4.668814143029756e-05,1.1484721265328197
112,9.529632715087811e-06,1.1484830710503693
113,-4.6759064287485556e-05,1.148429369056617
