trade_date,portfolio_return,equity
20260102,0.0,1.0
20260105,0.0,1.0
20260106,0.0,1.0
20260107,0.0,1.0
20260108,0.0,1.0
20260109,0.0,1.0
20260112,0.0,1.0
20260113,0.0,1.0
20260114,0.0,1.0
20260115,0.0,1.0
20260116,0.0,1.0
20260119,0.0,1.0
20260120,-0.029042533258384767,0.9709574667416152
20260121,0.0036945812807881,0.9745447480226801
20260122,-0.006293138449045833,0.9684118029985829
20260123,0.03227808814400997,0.9996702845354707
20260126,0.0049047349556686996,1.0045734023241752
20260127,0.0,1.0045734023241752
20260128,0.0,1.0045734023241752
20260129,0.0,1.0045734023241752
20260130,0.0,1.0045734023241752
20260202,0.0,1.0045734023241752
20260203,0.0,1.0045734023241752
20260204,0.0,1.0045734023241752
20260205,0.0,1.0045734023241752
20260206,0.0,1.0045734023241752
20260209,0.0,1.0045734023241752
20260210,-0.0026027142591559665,1.0019587848055773
20260211,-0.033452807646356,0.9684404503078997
20260212,-0.12084993359893753,0.8514044861936649
20260213,1.8048611111111112,2.388071333150148
20260216,0.0,2.388071333150148
20260217,0.0,2.388071333150148
20260218,0.0,2.388071333150148
20260219,0.0,2.388071333150148
20260220,0.0,2.388071333150148
20260223,0.09992421781963835,2.626697493212678
20260224,-0.054272823779193194,2.4841392030422975
20260225,0.024092566175305065,2.5439884911802637
20260226,-0.26361819090454774,1.8733468474533326
20260227,-0.013650013650013601,1.8477756374143846
20260302,-0.014517506404782232,1.8209505427636208
20260303,0.04821428571428566,1.9087463725040097
20260304,0.03798965262379896,1.9812589841423736
20260305,-0.06046123501744803,1.861469619071711
20260306,0.0,1.861469619071711
20260309,0.07385784450004629,1.9989537527386696
20260310,0.08848797250859097,2.175837117456954
20260311,0.0,2.175837117456954
20260312,0.0,2.175837117456954
20260313,0.0,2.175837117456954
20260316,-0.06982447713773907,2.023910428393637
20260317,-0.0319768677977633,1.959192112190379
20260318,-0.06994026621513569,1.8221656942971898
20260319,0.015238095238095266,1.8499320286864804
20260320,-0.18362932604735888,1.5102302570253585
20260323,-0.03168567807351063,1.4623775872843778
20260324,-0.11570677051307962,1.2931705993889933
20260325,0.13750812215724167,1.4709920601399282
20260326,-0.15897908979089953,1.237135081329242
20260327,-0.1847351799619052,1.0085927094426983
20260330,0.6890235824059204,1.7035368712914
20260331,-0.25641025641025555,1.2667325453192477
20260401,0.060606060606060996,1.343504214732536
20260402,-0.0085470085470128,1.3320212727262692
20260403,-0.03508771929824127,1.2852836842095638
20260406,-0.11764705882353546,1.1340738390084308
20260407,0.0,1.1340738390084308
20260408,0.0,1.1340738390084308
20260409,0.0,1.1340738390084308
20260410,0.0,1.1340738390084308
20260413,0.0,1.1340738390084308
20260414,0.0,1.1340738390084308
20260415,0.0,1.1340738390084308
20260416,0.0,1.1340738390084308
20260417,0.0,1.1340738390084308
20260420,0.0,1.1340738390084308
20260421,0.0,1.1340738390084308
20260422,0.0,1.1340738390084308
20260423,0.0,1.1340738390084308
20260424,0.0,1.1340738390084308
20260427,0.0,1.1340738390084308
20260428,-0.015860634425376965,1.1160867084365342
20260429,-0.015191352614665431,1.0991318417001337
20260430,0.15319865319865308,1.2675173595363494
20260501,0.0,1.2675173595363494
20260504,0.0,1.2675173595363494
20260505,0.0,1.2675173595363494
20260506,-0.09961203732830029,1.141257373003946
20260507,0.003140421713773,1.144841402439131
20260508,0.0,1.144841402439131
20260511,0.0,1.144841402439131
20260512,0.2878787878787983,1.4744169576867714
20260513,0.1777777777777803,1.736535527942201
20260514,0.10507246376811447,1.9189975942839514
20260515,0.0027548209366397665,1.924284089034046
20260518,0.0,1.924284089034046
20260519,0.0,1.924284089034046
20260520,0.0,1.924284089034046
20260521,0.0,1.924284089034046
20260522,0.0,1.924284089034046
20260525,0.0,1.924284089034046
20260526,0.0,1.924284089034046
20260527,23.41212121212121,46.97585642805537
20260528,0.11995386389850046,52.61079191654183
20260529,0.2642917726887192,66.51539137472201
20260601,-0.19736966600435235,53.38727079494435
20260602,0.5126420784040828,80.75583225558621
20260603,-0.0430490814367974,77.27936785631913
20260604,0.0,77.27936785631913
20260605,0.0,77.27936785631913
20260608,-0.18167506297229213,63.23963383456343
20260609,0.03708214914061443,65.58469536801455
20260610,-0.18195104128607964,53.65149175337398
