,portfolio_return,equity
0,0.0,1.0
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,-0.029042533258384767,0.9709574667416152
13,0.0036945812807881,0.9745447480226801
14,-0.006293138449045833,0.9684118029985829
15,0.03227808814400997,0.9996702845354707
16,0.0049047349556686996,1.0045734023241752
17,0.0,1.0045734023241752
18,0.0,1.0045734023241752
19,0.0,1.0045734023241752
20,0.0,1.0045734023241752
21,0.0,1.0045734023241752
22,0.0,1.0045734023241752
23,0.0,1.0045734023241752
24,0.0,1.0045734023241752
25,0.0,1.0045734023241752
26,0.0,1.0045734023241752
27,-0.0026027142591559665,1.0019587848055773
28,-0.033452807646356,0.9684404503078997
29,-0.12084993359893753,0.8514044861936649
30,1.8048611111111112,2.388071333150148
31,0.0,2.388071333150148
32,0.0,2.388071333150148
33,0.0,2.388071333150148
34,0.0,2.388071333150148
35,0.0,2.388071333150148
36,0.09992421781963835,2.626697493212678
37,-0.054272823779193194,2.4841392030422975
38,0.024092566175305065,2.5439884911802637
39,-0.26361819090454774,1.8733468474533326
40,-0.013650013650013601,1.8477756374143846
41,-0.014517506404782232,1.8209505427636208
42,0.04821428571428566,1.9087463725040097
43,0.03798965262379896,1.9812589841423736
44,-0.06046123501744803,1.861469619071711
45,0.0,1.861469619071711
46,0.07385784450004629,1.9989537527386696
47,0.08848797250859097,2.175837117456954
48,0.0,2.175837117456954
49,0.0,2.175837117456954
50,0.0,2.175837117456954
51,-0.06982447713773907,2.023910428393637
52,-0.0319768677977633,1.959192112190379
53,-0.06994026621513569,1.8221656942971898
54,0.015238095238095266,1.8499320286864804
55,-0.18362932604735888,1.5102302570253585
56,-0.03168567807351063,1.4623775872843778
57,-0.11570677051307962,1.2931705993889933
58,0.13750812215724167,1.4709920601399282
59,-0.15897908979089953,1.237135081329242
60,-0.1847351799619052,1.0085927094426983
61,0.6890235824059204,1.7035368712914
62,-0.25641025641025555,1.2667325453192477
63,0.060606060606060996,1.343504214732536
64,-0.0085470085470128,1.3320212727262692
65,-0.03508771929824127,1.2852836842095638
66,-0.11764705882353546,1.1340738390084308
67,0.0,1.1340738390084308
68,0.0,1.1340738390084308
69,0.0,1.1340738390084308
70,0.0,1.1340738390084308
71,0.0,1.1340738390084308
72,0.0,1.1340738390084308
73,0.0,1.1340738390084308
74,0.0,1.1340738390084308
75,0.0,1.1340738390084308
76,0.0,1.1340738390084308
77,0.0,1.1340738390084308
78,0.0,1.1340738390084308
79,0.0,1.1340738390084308
80,0.0,1.1340738390084308
81,0.0,1.1340738390084308
82,-0.015860634425376965,1.1160867084365342
83,-0.015191352614665431,1.0991318417001337
84,0.15319865319865308,1.2675173595363494
85,0.0,1.2675173595363494
86,0.0,1.2675173595363494
87,0.0,1.2675173595363494
88,-0.09961203732830029,1.141257373003946
89,0.003140421713773,1.144841402439131
90,0.0,1.144841402439131
91,0.0,1.144841402439131
92,0.2878787878787983,1.4744169576867714
93,0.1777777777777803,1.736535527942201
94,0.10507246376811447,1.9189975942839514
95,0.0027548209366397665,1.924284089034046
96,0.0,1.924284089034046
97,0.0,1.924284089034046
98,0.0,1.924284089034046
99,0.0,1.924284089034046
100,0.0,1.924284089034046
101,0.0,1.924284089034046
102,0.0,1.924284089034046
103,23.41212121212121,46.97585642805537
104,0.11995386389850046,52.61079191654183
105,0.2642917726887192,66.51539137472201
106,-0.19736966600435235,53.38727079494435
107,0.5126420784040828,80.75583225558621
108,-0.0430490814367974,77.27936785631913
109,0.0,77.27936785631913
110,0.0,77.27936785631913
111,-0.18167506297229213,63.23963383456343
112,0.03708214914061443,65.58469536801455
113,-0.18195104128607964,53.65149175337398
