date,equity,daily_return
2026-01-19,1.0,0.0
2026-01-20,1.0,0.0
2026-01-21,1.0,0.0
2026-01-22,1.0,0.0
2026-01-23,1.0,0.0
2026-01-26,1.0078695896571108,0.00786958965711082
2026-01-27,1.0078695896571108,0.0
2026-01-28,1.0078695896571108,0.0
2026-01-29,1.0078695896571108,0.0
2026-01-30,1.0078695896571108,0.0
2026-02-02,1.0078695896571108,0.0
2026-02-03,1.0078695896571108,0.0
2026-02-04,1.0078695896571108,0.0
2026-02-05,1.0078695896571108,0.0
2026-02-06,1.0078695896571108,0.0
2026-02-09,1.0078695896571108,0.0
2026-02-10,1.0078695896571108,0.0
2026-02-11,1.0078695896571108,0.0
2026-02-12,1.0078695896571108,0.0
2026-02-13,1.0078695896571108,0.0
2026-02-16,1.0078695896571108,0.0
2026-02-17,1.0078695896571108,0.0
2026-02-18,1.0078695896571108,0.0
2026-02-19,1.0078695896571108,0.0
2026-02-20,1.0078695896571108,0.0
2026-02-23,1.0078695896571108,0.0
2026-02-24,1.0078695896571108,0.0
2026-02-25,1.0078695896571108,0.0
2026-02-26,1.0078695896571108,0.0
2026-02-27,1.0078695896571108,0.0
2026-03-02,1.0078695896571108,0.0
2026-03-03,1.0582217968389975,0.04995904995904987
2026-03-04,1.0582217968389975,0.0
2026-03-05,1.0582217968389975,0.0
2026-03-06,1.0582217968389975,0.0
2026-03-09,1.0582217968389975,0.0
2026-03-10,1.0582217968389975,0.0
2026-03-11,1.0582217968389975,0.0
2026-03-12,1.0582217968389975,0.0
2026-03-13,1.0582217968389975,0.0
2026-03-16,1.0582217968389975,0.0
2026-03-17,1.0582217968389975,0.0
2026-03-18,1.0582217968389975,0.0
2026-03-19,1.0582217968389975,0.0
2026-03-20,1.0582217968389975,0.0
2026-03-23,1.0582217968389975,0.0
2026-03-24,1.0582217968389975,0.0
2026-03-25,1.0582217968389975,0.0
2026-03-26,1.0582217968389975,0.0
2026-03-27,1.0582217968389975,0.0
2026-03-30,1.0582217968389975,0.0
2026-03-31,1.0582217968389975,0.0
2026-04-01,1.0582217968389975,0.0
2026-04-02,1.0582217968389975,0.0
2026-04-03,1.0582217968389975,0.0
2026-04-06,1.0582217968389975,0.0
2026-04-07,1.0582217968389975,0.0
2026-04-08,1.0582217968389975,0.0
2026-04-09,1.0582217968389975,0.0
2026-04-10,1.0582217968389975,0.0
2026-04-13,1.0582217968389975,0.0
2026-04-14,1.0582217968389975,0.0
2026-04-15,1.0582217968389975,0.0
2026-04-16,1.0582217968389975,0.0
2026-04-17,1.0582217968389975,0.0
2026-04-20,1.0582217968389975,0.0
2026-04-21,1.0582217968389975,0.0
2026-04-22,1.0582217968389975,0.0
2026-04-23,1.0582217968389975,0.0
2026-04-24,1.0582217968389975,0.0
2026-04-27,1.0582217968389975,0.0
2026-04-28,1.0582217968389975,0.0
2026-04-29,1.0582217968389975,0.0
2026-04-30,1.0582217968389975,0.0
2026-05-01,1.0582217968389975,0.0
2026-05-04,1.0582217968389975,0.0
2026-05-05,1.0582217968389975,0.0
2026-05-06,1.0582217968389975,0.0
2026-05-07,1.0433825779525612,-0.014022787028921901
