date,equity,daily_return
2026-02-23,1.0,0.0
2026-02-24,1.0,0.0
2026-02-25,0.8976910828025477,-0.10230891719745228
2026-02-26,0.8976910828025477,0.0
2026-02-27,0.8976910828025477,0.0
2026-03-02,0.8976910828025477,0.0
2026-03-03,0.8976910828025477,0.0
2026-03-04,0.8976910828025477,0.0
2026-03-05,0.9438627224733206,0.05143377332726451
2026-03-06,0.9438627224733206,0.0
2026-03-09,0.9438627224733206,0.0
2026-03-10,1.19442421838763,0.26546391752577314
2026-03-11,1.19442421838763,0.0
2026-03-12,1.19442421838763,0.0
2026-03-13,1.19442421838763,0.0
2026-03-16,1.19442421838763,0.0
2026-03-17,1.19442421838763,0.0
2026-03-18,1.19442421838763,0.0
2026-03-19,1.19442421838763,0.0
2026-03-20,1.19442421838763,0.0
2026-03-23,1.19442421838763,0.0
2026-03-24,1.19442421838763,0.0
2026-03-25,1.19442421838763,0.0
2026-03-26,1.19442421838763,0.0
2026-03-27,1.19442421838763,0.0
2026-03-30,1.19442421838763,0.0
2026-03-31,1.19442421838763,0.0
2026-04-01,1.19442421838763,0.0
2026-04-02,1.19442421838763,0.0
2026-04-03,1.19442421838763,0.0
2026-04-06,1.19442421838763,0.0
2026-04-07,1.19442421838763,0.0
2026-04-08,1.19442421838763,0.0
2026-04-09,1.19442421838763,0.0
2026-04-10,1.19442421838763,0.0
2026-04-13,1.19442421838763,0.0
2026-04-14,1.19442421838763,0.0
2026-04-15,1.19442421838763,0.0
2026-04-16,1.19442421838763,0.0
2026-04-17,1.19442421838763,0.0
2026-04-20,1.19442421838763,0.0
2026-04-21,1.19442421838763,0.0
2026-04-22,1.19442421838763,0.0
2026-04-23,1.19442421838763,0.0
2026-04-24,1.19442421838763,0.0
2026-04-27,1.19442421838763,0.0
2026-04-28,1.19442421838763,0.0
2026-04-29,1.19442421838763,0.0
2026-04-30,1.19442421838763,0.0
2026-05-01,1.19442421838763,0.0
2026-05-04,1.19442421838763,0.0
2026-05-05,1.19442421838763,0.0
2026-05-06,1.19442421838763,0.0
2026-05-07,1.19442421838763,0.0
2026-05-08,1.19442421838763,0.0
2026-05-11,1.19442421838763,0.0
2026-05-12,1.19442421838763,0.0
2026-05-13,1.19442421838763,0.0
2026-05-14,1.19442421838763,0.0
2026-05-15,1.19442421838763,0.0
2026-05-18,1.19442421838763,0.0
2026-05-19,1.19442421838763,0.0
2026-05-20,1.19442421838763,0.0
2026-05-21,1.19442421838763,0.0
2026-05-22,1.19442421838763,0.0
2026-05-25,1.19442421838763,0.0
2026-05-26,1.19442421838763,0.0
2026-05-27,1.19442421838763,0.0
2026-05-28,1.19442421838763,0.0
2026-05-29,1.19442421838763,0.0
2026-06-01,1.19442421838763,0.0
2026-06-02,1.19442421838763,0.0
2026-06-03,2.6252535069890053,1.1979238754325259
2026-06-04,2.6252535069890053,0.0
2026-06-05,2.6252535069890053,0.0
2026-06-08,2.6252535069890053,0.0
2026-06-09,2.6252535069890053,0.0
2026-06-10,1.324884331785357,-0.4953308972797401
