strategy,generated_trades,completed_trades,active_days,total_return,annual_return,volatility,sharpe_ratio,max_drawdown
long_atm_strangle,4,3,19,-0.014022787028921235,-0.030734906782619698,8.225024191749545,1.2380458172887614,-0.8081548906136612
long_call_butterfly,2,2,14,1.0333333333333408,3.800684636216171,4.7459644739327675,1.6162182438896682,-0.8461538461538485
calendar_spread,6,5,26,-0.49533089727973945,-0.7794594101038356,104.50996262929499,1.453526716663,-0.9889070133250993
